METRIC,APPLIED,FUNDED
Carers,3,3
Disabled people,5,5
Ethnically diverse people,8,8
LGBT+,3,3
Men,0,0
Mental health,7,6
Non-binary people,0,0
Not targeted at a specific group,7,6
Older people (over 55),4,4
"People in school (teachers, governors, support staff etc)",0,0
"People with challenging lives (e.g., those who are socially excluded, those from a low-income household, young people at risk, in care or NEET, carers)",12,10
Pupils in schools,3,3
Religious or Belief Communities,0,0
Women,1,1
Younger people (under 25),7,6
