METRIC,APPLIED,FUNDED
Carers,0,0
Disabled people,2,1
Ethnically diverse people,5,4
LGBT+,0,0
Men,0,0
Mental health,3,1
Non-binary people,0,0
Not targeted at a specific group,9,2
Older people (over 55),2,0
"People in school (teachers, governors, support staff etc)",0,0
"People with challenging lives (e.g., those who are socially excluded, those from a low-income household, young people at risk, in care or NEET, carers)",5,5
Pupils in schools,0,0
Religious or Belief Communities,1,0
Women,2,2
Younger people (under 25),7,5
