ward_code,metric,ward_name,value
E05011395,WARDS - RECEIVING ACTIVITY,Guiseley & Rawdon ,1.0
E05011549,WARDS - RECEIVING ACTIVITY,Otley & Yeadon ,1.0
E05011414,WARDS - RECEIVING ACTIVITY,Wetherby ,1.0
E05011547,WARDS - RECEIVING ACTIVITY,Horsforth ,1.0
E05011413,WARDS - RECEIVING ACTIVITY,Weetwood ,1.0
E05011411,WARDS - RECEIVING ACTIVITY,Roundhay ,1.0
E05011389,WARDS - RECEIVING ACTIVITY,Calverley & Farsley ,2.0
E05011402,WARDS - RECEIVING ACTIVITY,Kirkstall ,2.0
E05011397,WARDS - RECEIVING ACTIVITY,Headingley & Hyde Park ,2.0
E05011409,WARDS - RECEIVING ACTIVITY,Pudsey ,1.0
E05011403,WARDS - RECEIVING ACTIVITY,Little London & Woodhouse ,1.0
E05011394,WARDS - RECEIVING ACTIVITY,Gipton & Harehills ,1.0
E05012648,WARDS - RECEIVING ACTIVITY,Farnley & Wortley ,1.0
E05012647,WARDS - RECEIVING ACTIVITY,Beeston & Holbeck ,1.0
