METRIC,APPLIED,FUNDED
Carers,0,0
Disabled people,2,2
Ethnically diverse people,1,1
LGBT+,0,0
Men,0,0
Mental health,0,0
Non-binary people,0,0
Not targeted at a specific group,0,0
Older people (over 55),0,0
"People in school (teachers, governors, support staff etc)",0,0
"People with challenging lives (e.g., those who are socially excluded, those from a low-income household, young people at risk, in care or NEET, carers)",2,2
Pupils in schools,1,1
Religious or Belief Communities,0,0
Women,0,0
Younger people (under 25),3,3
