METRIC,APPLIED,FUNDED
Carers,3,2
Disabled people,3,3
Ethnically diverse people,3,3
LGBT+,3,2
Men,2,0
Mental health,1,0
Non-binary people,3,1
Not targeted at a specific group,24,7
Older people (over 55),6,4
"People in school (teachers, governors, support staff etc)",0,0
"People with challenging lives (e.g., those who are socially excluded, those from a low-income household, young people at risk, in care or NEET, carers)",3,2
Pupils in schools,3,1
Religious or Belief Communities,1,1
Women,7,3
Younger people (under 25),4,1
